Execution and Count Analysis for Batch ID: 91,
Asset Classes in this batch,
IR
FX
Clients in the Batch
VPC019BKA
Westpac
BATTSTBKA
 Total Count in the Batch,
25689
Analyzing Data for :VPC019BKA,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
IR,VPC019BKA,irs,fixedFloat,USD,1,,0
Analyzing Data for :Westpac,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
FX,Westpac,fxForward,fxForward,GBP,13,,0
FX,Westpac,fxExotic,barrier,AUD,677,,0
FX,Westpac,fxExotic,other,NZD,43,,0
FX,Westpac,fxExotic,other,AUD,390,,0
FX,Westpac,fxExotic,barrier,EUR,40,,0
FX,Westpac,fxVanillaOption,fxVanillaOption,XAU,33,,0
FX,Westpac,fxExotic,barrier,NZD,1,ECOM35,1
FX,Westpac,fxExotic,asian,AUD,6,ECOM58;RCOM01,6
FX,Westpac,fxSwap,,USD,15,RCOM01,15
FX,Westpac,fxSwap,,USD,3,ECOM100;RCOM01,3
FX,Westpac,fxForward,fxForward,USD,3532,,0
FX,Westpac,fxForward,fxForward,USD,47,RCOM01,47
FX,Westpac,fxForward,fxForward,GBP,2,RCOM01,2
FX,Westpac,fxForward,fxForward,NZD,13,ECOM100,13
FX,Westpac,fxForward,fxForward,XAU,13,,0
FX,Westpac,fxForward,fxForward,CAD,2,,0
FX,Westpac,fxForward,fxForward,GBP,5,ECOM100,5
FX,Westpac,fxExotic,barrier,AUD,14,ECOM49;ECOM35,14
FX,Westpac,fxExotic,barrier,AUD,1,ECOM49;RCOM01;ECOM35,1
FX,Westpac,fxSwap,,USD,6614,,0
FX,Westpac,fxSwap,,AUD,12,ECOM100;WCOM102,12
FX,Westpac,fxForward,fxForward,AUD,91,ECOM100,91
FX,Westpac,fxForward,fxForward,EUR,12,RCOM01,12
FX,Westpac,fxVanillaOption,fxVanillaOption,USD,274,,0
FX,Westpac,fxVanillaOption,fxVanillaOption,AUD,3,RCOM01,3
FX,Westpac,fxExotic,other,NZD,8,RCOM01,8
FX,Westpac,fxExotic,barrier,EUR,6,ECOM49;ECOM35,6
FX,Westpac,fxExotic,barrier,EUR,1,ECOM49,1
FX,Westpac,fxExotic,barrier,GBP,2,ECOM35,2
FX,Westpac,fxSwap,,GBP,830,,0
FX,Westpac,fxSwap,,AUD,58,WCOM102,58
FX,Westpac,fxSwap,,EUR,11,ECOM100;WCOM102,11
FX,Westpac,fxSwap,,USD,13,WCOM102,13
FX,Westpac,fxSwap,,CHF,1,,0
FX,Westpac,fxSwap,,NZD,2,WCOM102,2
FX,Westpac,fxForward,fxForward,NZD,70,,0
FX,Westpac,fxForward,fxForward,USD,12,ECOM100;RCOM01,12
FX,Westpac,fxForward,fxForward,SGD,5,,0
FX,Westpac,fxForward,fxForward,NZD,1,ECOM100;RCOM01,1
FX,Westpac,fxExotic,asian,EUR,15,ECOM58,15
FX,Westpac,fxExotic,barrier,AUD,3,RCOM01,3
FX,Westpac,fxSwap,,EUR,66,WCOM102,66
FX,Westpac,fxForward,fxForward,AUD,305,,0
FX,Westpac,fxForward,fxForward,AUD,4,RCOM01,4
FX,Westpac,fxForward,fxForward,SGD,1,RCOM01,1
FX,Westpac,fxExotic,barrier,USD,11,,0
FX,Westpac,fxExotic,asian,USD,6,ECOM58,6
FX,Westpac,fxExotic,barrier,NZD,14,ECOM49,14
FX,Westpac,fxExotic,asian,XAU,7,ECOM58,7
FX,Westpac,fxExotic,other,USD,1,,0
FX,Westpac,fxSwap,,GBP,87,ECOM100,87
FX,Westpac,fxSwap,,NZD,89,ECOM100,89
FX,Westpac,fxSwap,,USD,790,ECOM100,790
FX,Westpac,fxSwap,,AUD,2422,,0
FX,Westpac,fxSwap,,XAU,56,,0
FX,Westpac,fxSwap,,NZD,1,ECOM100;WCOM102,1
FX,Westpac,fxSwap,,SGD,1,,0
FX,Westpac,fxForward,fxForward,CAD,2,ECOM100,2
FX,Westpac,fxVanillaOption,fxVanillaOption,AUD,3368,,0
FX,Westpac,fxExotic,barrier,NZD,96,,0
FX,Westpac,fxExotic,barrier,USD,3,ECOM49;ECOM35,3
FX,Westpac,fxExotic,other,EUR,1,,0
FX,Westpac,fxSwap,,EUR,927,,0
FX,Westpac,fxSwap,,GBP,19,WCOM102,19
FX,Westpac,fxSwap,,XAU,7,ECOM100,7
FX,Westpac,fxSwap,,GBP,2,ECOM100;WCOM102,2
FX,Westpac,fxForward,fxForward,EUR,32,,0
FX,Westpac,fxForward,fxForward,CHF,1,,0
FX,Westpac,fxForward,fxForward,EUR,5,ECOM100,5
FX,Westpac,fxVanillaOption,fxVanillaOption,NZD,1726,,0
FX,Westpac,fxVanillaOption,fxVanillaOption,EUR,489,,0
FX,Westpac,fxExotic,asian,AUD,104,ECOM58,104
FX,Westpac,fxExotic,asian,GBP,14,ECOM58,14
FX,Westpac,fxSwap,,NZD,641,,0
FX,Westpac,fxSwap,,EUR,113,ECOM100,113
FX,Westpac,fxSwap,,USD,2,ECOM100;WCOM102,2
FX,Westpac,fxForward,fxForward,USD,933,ECOM100,933
FX,Westpac,fxVanillaOption,fxVanillaOption,GBP,102,,0
FX,Westpac,fxExotic,barrier,AUD,24,ECOM49,24
FX,Westpac,fxExotic,barrier,EUR,1,ECOM35,1
FX,Westpac,fxSwap,,AUD,265,ECOM100,265
FX,Westpac,fxSwap,,CAD,3,,0
Analyzing Data for :BATTSTBKA,
ASSET_CLASS_ID,CONTRIBUTOR_IDENTIFIER,INSTRUMENT_TYPE,INSTRUMENT_SUB_TYPE,NOTIONAL_CCY_CODE,TOTAL_COUNT,VALIDATION_CODES,ERROR_TRANSACTIONS
IR,BATTSTBKA,irForward,fra,USD,10,,0
IR,BATTSTBKA,irs,fixedFloat,IDR,10,RCOM01,10
IR,BATTSTBKA,irs,fixedFloat,AUD,1,,0
IR,BATTSTBKA,irs,ois,EUR,11,,0
IR,BATTSTBKA,crossCurrency,basisSwap,USD,11,,0
IR,BATTSTBKA,crossCurrency,fixedFloat,AUD,10,,0
